minute_of_day,Wireless Temperature Sensor 1,Thermocouple TA 30C
5.0,8.6,3.8249999999999997
5.0,10.7,3.8249999999999997
9.0,4.0,3.9
15.0,11.0,3.9
15.0,11.8,3.9
19.0,4.0,3.9
25.0,13.0,3.9
25.0,12.9,3.9
29.0,4.0,3.85
35.0,12.5,3.9499999999999997
35.0,14.8,3.9499999999999997
39.0,4.2,4.025
45.0,16.1,4.2
45.0,8.9,4.2
49.0,7.5,4.325
55.0,15.5,4.6
55.0,5.9,4.6
59.0,10.6,4.7250000000000005
65.0,9.8,5.075
65.0,6.2,5.075
69.0,13.0,5.25
75.0,9.4,5.625
75.0,5.7,5.625
79.0,15.3,5.925000000000001
85.0,5.9,6.175
85.0,11.4,6.175
89.0,17.1,6.3
95.0,10.4,6.574999999999999
95.0,12.6,6.574999999999999
99.0,18.3,6.625
105.0,13.0,6.7749999999999995
105.0,13.7,6.7749999999999995
109.0,14.1,6.725
115.0,14.9,6.874999999999999
115.0,14.8,6.874999999999999
119.0,8.8,6.8500000000000005
125.0,16.9,6.95
125.0,14.6,6.95
129.0,6.0,7.05
135.0,11.1,7.175
135.0,18.3,7.175
139.0,9.1,7.199999999999999
145.0,7.9,7.425
145.0,17.7,7.425
149.0,12.7,7.6
155.0,7.1,7.925000000000001
155.0,12.2,7.925000000000001
159.0,14.9,8.1
165.0,10.5,8.475
165.0,7.7,8.475
169.0,17.4,8.6
175.0,12.7,8.799999999999999
175.0,6.6,8.799999999999999
179.0,19.5,8.95
185.0,14.0,9.1
185.0,11.5,9.1
189.0,20.9,9.274999999999999
195.0,15.3,9.375
195.0,14.4,9.375
199.0,16.6,9.35
205.0,16.5,9.45
205.0,16.3,9.45
209.0,11.3,9.425
215.0,16.3,9.425
215.0,18.4,9.425
219.0,7.1,9.5
225.0,20.0,9.575
225.0,12.8,9.575
229.0,10.1,9.6
235.0,19.4,9.75
235.0,9.6,9.75
239.0,14.2,9.975000000000001
245.0,8.7,10.1
245.0,13.8,10.1
249.0,16.4,10.3
255.0,9.2,10.6
255.0,12.1,10.6
259.0,18.9,10.774999999999999
265.0,14.2,11.024999999999999
265.0,7.8,11.024999999999999
269.0,21.2,11.15
275.0,12.8,11.375
275.0,15.5,11.375
279.0,22.8,11.375
285.0,16.9,11.45
285.0,15.7,11.45
289.0,18.6,11.475000000000001
295.0,17.7,11.4
295.0,18.2,11.4
299.0,13.2,11.424999999999999
305.0,19.9,11.399999999999999
305.0,17.9,11.399999999999999
309.0,9.1,11.35
315.0,21.5,11.525
315.0,14.4,11.525
319.0,12.0,11.675
325.0,20.9,11.700000000000001
325.0,11.1,11.700000000000001
329.0,16.0,11.725000000000001
335.0,15.4,11.9
339.0,18.2,12.1
345.0,6.5,12.350000000000001
345.0,10.7,12.350000000000001
349.0,20.7,12.575
355.0,9.2,12.925
355.0,6.1,12.925
359.0,22.9,13.024999999999999
365.0,14.2,13.2
369.0,24.4,13.075
375.0,16.9,13.200000000000001
375.0,11.4,13.200000000000001
379.0,20.1,13.275
385.0,19.1,13.175
385.0,13.8,13.175
389.0,14.5,13.200000000000001
395.0,14.0,13.175
395.0,22.8,13.175
395.0,21.3,13.175
399.0,10.2,13.125
405.0,22.3,13.175
409.0,13.1,13.175
419.0,17.2,13.375
429.0,19.5,13.875
439.0,21.9,14.25
449.0,24.1,14.575
459.0,25.7,14.825
1435.0,9.5,3.8249999999999997
1435.0,4.9,3.8249999999999997
